#SNR	m1	m2	err_Log_Mc	err_eta	err_H_eff5	err_H_eff8	err_ecc	corr_Mc_ecc	corr_eta_ecc	corr_Heff5_ecc	corr_Heff8_ecc
870.0071169334261	6.66667	3.33333	1.7264115136884644e-06	5.790072887610491e-05	0.011346996613304917	0.16747418897116045	2.05147959464565e-05	0.7111377025872593	-0.9929405042611142	0.7968353419118748	0.02545570783913031
1537.5751225889348	13.3333	6.66667	5.165041731835886e-06	3.858493984122313e-05	0.007481417360985314	0.07395434728232725	5.158329065342067e-05	0.8768047095206074	-0.9965752831178021	0.7248256872664235	0.5887329593503859
2133.384546945817	20.0	10.0	1.0633921962783514e-05	3.0975438202766066e-05	0.006919734362265273	0.070252198903168	9.004985441230813e-05	0.9309707831860649	-0.9979709515925143	0.7342049761533445	0.8513014515095852
2679.01939185315	26.6667	13.3333	1.8361248430523822e-05	2.684974507772289e-05	0.007225008463054583	0.08267962542439174	0.0001363715741451983	0.9555551345276169	-0.998769000350702	0.7745467844766403	0.9204613177384707
3183.9436378657374	33.3333	16.6667	2.8734671608834406e-05	2.4193600733872105e-05	0.007967221902402717	0.10073622464897414	0.00019153424519192204	0.9691875825444998	-0.999285760719988	0.8179479436278263	0.9425797951309117
3652.8454178126294	40.0	20.0	4.225671413983984e-05	2.2241091971532274e-05	0.009032971889263159	0.12274890137569741	0.00025681588048297367	0.9776460194409007	-0.9996221266475411	0.8551759852253196	0.9537772504786153
4089.2625508586248	46.6667	23.3333	5.915066403285687e-05	2.050461296248711e-05	0.010312205133025904	0.14779211444032805	0.00033190146783378767	0.9831030927578098	-0.999811630517719	0.8833884917989075	0.9611044996032427
4494.527267138307	53.3333	26.6667	7.926871355031741e-05	1.8687142285807223e-05	0.011713496766561641	0.17471019634107873	0.0004147146325249584	0.986637808203177	-0.999855067351598	0.9031386332090883	0.9661157569668702
4870.281567720787	60.0	30.0	0.00010119422930792865	1.6510919332338625e-05	0.013021810277694834	0.20038431443954843	0.0004979246240976368	0.9887435723071665	-0.9996964684759647	0.9147599145503428	0.9688720543153024
5218.090532548287	66.6667	33.3333	0.00012212860171371045	1.3858889611832096e-05	0.013960572021868983	0.22031405416239952	0.0005696306840214458	0.9896904155251247	-0.9991249598780525	0.9185297231258005	0.9691388255570296
